name,occupation,gender,orientation,wikidata_url,orientation_filled,is_LGBT
Jack Dongarra,computer scientist,male,,http://www.wikidata.org/entity/Q92670,,False
Julius Richard Büchi,computer scientist,male,,http://www.wikidata.org/entity/Q92672,,False
Dan Kaminsky,computer scientist,male,,http://www.wikidata.org/entity/Q92673,,False
Joe Ossanna,computer scientist,male,,http://www.wikidata.org/entity/Q92674,,False
Takeo Kanade,computer scientist,male,,http://www.wikidata.org/entity/Q92675,,False
Joël de Rosnay,computer scientist,male,,http://www.wikidata.org/entity/Q92676,,False
Michael Lynn,computer scientist,male,,http://www.wikidata.org/entity/Q92677,,False
David G. Lowe,computer scientist,male,,http://www.wikidata.org/entity/Q92679,,False
David Gelernter,computer scientist,male,,http://www.wikidata.org/entity/Q92680,,False
Rémy Card,computer scientist,male,,http://www.wikidata.org/entity/Q92681,,False
Jon Bosak,computer scientist,male,,http://www.wikidata.org/entity/Q92682,,False
Damian Conway,computer scientist,male,,http://www.wikidata.org/entity/Q92683,,False
Sartaj Sahni,computer scientist,male,,http://www.wikidata.org/entity/Q92684,,False
Norbert Pohlmann,computer scientist,male,,http://www.wikidata.org/entity/Q92685,,False
David H. D. Warren,computer scientist,male,,http://www.wikidata.org/entity/Q92686,,False
William Warren Tunnicliffe,computer scientist,male,,http://www.wikidata.org/entity/Q92687,,False
John Pasta,computer scientist,male,,http://www.wikidata.org/entity/Q92688,,False
Harald Ganzinger,computer scientist,male,,http://www.wikidata.org/entity/Q92690,,False
Daniel G. Bobrow,computer scientist,male,,http://www.wikidata.org/entity/Q92691,,False
Rudi Studer,computer scientist,male,,http://www.wikidata.org/entity/Q92692,,False
Richard Crandall,computer scientist,male,,http://www.wikidata.org/entity/Q92693,,False
Andy Hopper,computer scientist,male,,http://www.wikidata.org/entity/Q92694,,False
Philippe Flajolet,computer scientist,male,,http://www.wikidata.org/entity/Q92695,,False
David Harris,computer scientist,male,,http://www.wikidata.org/entity/Q92696,,False
Yiannis N. Moschovakis,computer scientist,male,,http://www.wikidata.org/entity/Q92697,,False
Horst Zuse,computer scientist,male,,http://www.wikidata.org/entity/Q92698,,False
Dieter Fox,computer scientist,male,,http://www.wikidata.org/entity/Q92699,,False
Stephen Brewster,computer scientist,male,,http://www.wikidata.org/entity/Q92700,,False
Vijay Vazirani,computer scientist,male,,http://www.wikidata.org/entity/Q92702,,False
